0,1,2,3
gold sodium thiomalate,M01CB01,9606.ENSP00000255040,APCS
gold sodium thiomalate,M01CB01,9606.ENSP00000273550,FTH1
gold sodium thiomalate,M01CB01,9606.ENSP00000336829,FGG
gold sodium thiomalate,M01CB01,9606.ENSP00000277480,LCN2
gold sodium thiomalate,M01CB01,9606.ENSP00000349451,HPR
gold sodium thiomalate,M01CB01,9606.ENSP00000349711,ORM1
gold sodium thiomalate,M01CB01,9606.ENSP00000256733,ENSP00000256733
gold sodium thiomalate,M01CB01,9606.ENSP00000278207,SAA3P
gold sodium thiomalate,M01CB01,9606.ENSP00000351029,HLA-A
gold sodium thiomalate,M01CB01,9606.ENSP00000354291,ENSP00000354291
gold sodium thiomalate,M01CB01,9606.ENSP00000278222,SAA4
gold sodium thiomalate,M01CB01,D000209,D000209
gold sodium thiomalate,M01CB01,D002097,D002097
gold sodium thiomalate,M01CB01,9606.ENSP00000217407,LBP
gold sodium thiomalate,M01CB01,9606.ENSP00000261981,SERPINA3
gold sodium thiomalate,M01CB01,9606.ENSP00000291440,CPAMD8
gold sodium thiomalate,M01CB01,9606.ENSP00000295897,ALB
gold sodium thiomalate,M01CB01,9606.ENSP00000296695,SPINK1
gold sodium thiomalate,M01CB01,9606.ENSP00000245907,C3
gold sodium thiomalate,M01CB01,9606.ENSP00000264998,PRO1400
gold sodium thiomalate,M01CB01,9606.ENSP00000306099,FGB
gold sodium thiomalate,M01CB01,9606.ENSP00000306361,FGA
gold sodium thiomalate,M01CB01,9606.ENSP00000265634,NPTX2
gold sodium thiomalate,M01CB01,9606.ENSP00000307549,NPTX1
gold sodium thiomalate,M01CB01,9606.ENSP00000308762,SAA1
gold sodium thiomalate,M01CB01,9606.ENSP00000248598,FGL2
gold sodium thiomalate,M01CB01,9606.ENSP00000265983,HPX
gold sodium thiomalate,M01CB01,9606.ENSP00000313691,FTMT
gold sodium thiomalate,M01CB01,9606.ENSP00000319435,ENSP00000319435
gold sodium thiomalate,M01CB01,9606.ENSP00000266041,ITIH4
gold sodium thiomalate,M01CB01,9606.ENSP00000323929,A2M
gold sodium thiomalate,M01CB01,9606.ENSP00000327545,NPTXR
ximelagatran,B01AE05,9606.ENSP00000308541,ENSP00000308541
ximelagatran,B01AE05,D013917,D013917
ximelagatran,B01AE05,9606.ENSP00000345282,GPT2
ximelagatran,B01AE05,D000410,D000410
guanoxabenz,C02CC07,9606.ENSP00000341625,CYB5
auranofin,M01CB03,9606.ENSP00000265455,ALOX5
bismuth subcitrate,A02BX05,9606.ENSP00000322192,PGA5
bismuth subcitrate,A02BX05,D010434,D010434
tegaserod,A03AE02,9606.ENSP00000355037,HTR4
ferrous fumarate,B03AA02 B03AD02,9606.ENSP00000263258,FTL
ferrous fumarate,B03AA02 B03AD02,9606.ENSP00000264998,PRO1400
ferrous fumarate,B03AA02 B03AD02,9606.ENSP00000307530,FTLL1
ferrous fumarate,B03AA02 B03AD02,9606.ENSP00000341714,ENSP00000341714
ferrous fumarate,B03AA02 B03AD02,9606.ENSP00000351801,ENSP00000351801
ferrous fumarate,B03AA02 B03AD02,D005293,D005293
ferrous fumarate,B03AA02 B03AD02,D014168,D014168
progabide,N03AG05,9606.ENSP00000023897,GABRA1
progabide,N03AG05,9606.ENSP00000229606,GABRR2
progabide,N03AG05,9606.ENSP00000259455,GPR51
progabide,N03AG05,9606.ENSP00000264318,GABRA4
progabide,N03AG05,9606.ENSP00000274547,GABRB2
progabide,N03AG05,9606.ENSP00000275066,GABRR1
progabide,N03AG05,9606.ENSP00000276369,GABRQ
progabide,N03AG05,9606.ENSP00000295454,GABRB1
progabide,N03AG05,9606.ENSP00000299267,GABRB3
progabide,N03AG05,9606.ENSP00000331912,GABRG3
progabide,N03AG05,9606.ENSP00000335592,GABRA5
progabide,N03AG05,9606.ENSP00000338004,BZRP
progabide,N03AG05,9606.ENSP00000342957,GABRD
progabide,N03AG05,9606.ENSP00000345982,GABRE
progabide,N03AG05,9606.ENSP00000348897,GABRA2
progabide,N03AG05,9606.ENSP00000349000,GABRG2
progabide,N03AG05,D011963,D011963
progabide,N03AG05,D018080,D018080
sulfasalazine,A07EC01,9606.ENSP00000263518,IKBKG
sulfasalazine,A07EC01,9606.ENSP00000265455,ALOX5
sulfasalazine,A07EC01,9606.ENSP00000266054,CHUK
sulfasalazine,A07EC01,9606.ENSP00000271742,IKBKE
sulfasalazine,A07EC01,9606.ENSP00000286479,AAC2
sulfasalazine,A07EC01,9606.ENSP00000293761,ALOX15
sulfasalazine,A07EC01,9606.ENSP00000314879,ALOXE3
sulfasalazine,A07EC01,9606.ENSP00000315167,ALOX12B
sulfasalazine,A07EC01,9606.ENSP00000316970,ALOX15B
sulfasalazine,A07EC01,9606.ENSP00000339151,IKBKB
sulfasalazine,A07EC01,D001094,D001094
sulfasalazine,A07EC01,D008084,D008084
